route_id,stop_id,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Cluster10
2,8731,"181.3415853733358,514.6769998073578,212.07600021362305,1128.2759997844696,1625.7250001430511,384.0350000858307,157.80299997329712,2506.4110000133514,253.24199986457825,280.5840001106262,252.8329999446869,229.79099988937378,250.68200016021729,4917.596999883652,348.4760000705719,412.17199993133545,377.9670000076294,476.68300008773804,377.0439999103546,317.5510001182556,802.7339999675751","214.73903312444045,251.80799984931946,510.2720000743866,474.22500014305115,254.4689998626709,478.32100009918213,252.6289999485016,316.63100004196167,346.9389998912811,443.4060001373291,539.561999797821,1504.9000000953674,466.54500007629395,32.15400004386902,661.5179998874664,602.6410000324249,256.7239999771118,629.2630000114441,224.25999999046326,415.3440001010895,2097.411999940872,287.3439998626709,376.02500009536743,1184.5869998931885,225.49000000953674,480.26900005340576,926.8410000801086,359.53399991989136,1021.8600001335144","162.7116369846304,190.46600008010864,32.359999895095825,1039.9850001335144,1020.3289999961853,219.0369999408722,223.03200006484985,253.24000000953674,413.1909999847412,285.1899998188019,257.3360002040863,444.6289999485016,285.49699997901917,224.4649999141693,257.02999997138977,793.2060000896454,225.79699993133545,129.53900003433228,64.92300009727478,471.356999874115,252.01200008392334,322.9760000705719,284.0629999637604,223.33899998664856,312.2239999771118,538.9430000782013,282.117999792099,284.26900005340576,633.2580001354218,540.5839998722076,222.75500011444092,127.25799989700317,343.35599994659424,314.7880001068115,541.4070000648499,221.50099992752075,319.2920000553131,321.5460000038147,348.8880000114441,253.96099996566772,676.5789999961853,382.27099990844727,343.2539999485016,449.85400009155273,258.4630000591278,313.6579999923706,219.7539999485016,412.460000038147","273.3079254079254,383.20300006866455,943.6329998970032,218.1159999370575,374.89600014686584,126.56799983978271,349.9079999923706,1040.7139999866486,686.712000131607,312.3289999961853,752.2520000934601,686.5099999904633,404.90199995040894,834.481999874115,442.79100012779236,1681.0469999313354,1158.7880001068115,619.941999912262,495.9340000152588,585.2269999980927,649.8469998836517,557.6840000152588,622.6019999980927",0,0,0,0,0,0
2,8742,"153.44267993456924,242.18300008773804,272.49399995803833,338.1210000514984,281.2119998931885,283.9630000591278,496.8589999675751,1317.720999956131,281.095999956131,320.52100014686584,401.521999835968,318.67700004577637,286.3180000782013,419.6470000743866,255.8019998073578,345.40500020980835,320.21299982070923,379.3010001182556,252.7300000190735,283.45099997520447,352.6749999523163,3743.954999923706,314.27500009536743,350.93499994277954,352.36899995803833,190.26400017738342,377.35599994659424,318.3710000514984,315.5019998550415,345.40300011634827,539.3519999980927,407.7669999599457","215.7055250783699,223.44199991226196,485.7980000972748,310.58899998664856,223.3420000076294,760.4389998912811,221.39400005340576,605.1970000267029,223.03399991989136,253.03800010681152,693.2669999599457,379.7109999656677,351.65199995040894,250.0680000782013,313.2039999961853,470.17000007629395,473.6089999675751,496.9619998931885,443.39800000190735,565.8780000209808,511.1930000782013,224.87700009346008,436.5409998893738,735.2699999809265,505.5369999408722,224.26500010490417,446.98600006103516,475.09500002861023,475.92199993133545,285.0899999141693,441.9690001010895,674.8309998512268,351.24000000953674,318.1630001068115,580.010999917984,318.9810001850128,580.7219998836517","169.6390603085554,126.56799983978271,767.1890001296997,252.31699991226196,349.2890000343323,440.22199988365173,470.33000016212463,379.5,484.56500005722046,506.5809998512268,445.1419999599457,219.14000010490417,254.57099986076355,383.80200004577637,285.2920000553131,287.44199991226196,222.62200021743774,385.13499999046326,377.35199999809265,193.53999996185303,547.2369999885559,217.29699993133545,286.62400007247925,315.19400000572205,259.896999835968,346.52800011634827,255.69799995422363,154.3199999332428,536.8940000534058,472.89400005340576,221.90599989891052,320.3159999847412,216.99100017547607,221.49799990653992,445.88499999046326,317.8329999446869,248.7369999885559,253.14200019836426,252.73099994659424,381.8619999885559,318.16799998283386,350.83399987220764,128.31200003623962,542.8400001525879","243.12423580786026,516.9340000152588,380.7339999675751,221.18999981880188,222.4190001487732,249.3510000705719,322.1579999923706,512.4199998378754,124.4190001487732,347.039999961853,317.03600001335144,225.89999985694885,311.710000038147,286.72500014305115,500.5409998893738,376.3269999027252,218.73100018501282,380.01399993896484,477.1949999332428,783.7880001068115,498.90499997138977,816.8669998645782,341.20700001716614,593.0170001983643,654.4579999446869,396.9140000343323,566.7139999866486,501.6559998989105,652.8180000782013,685.3849999904633,437.9760000705719,626.0889999866486,619.941999912262,586.9690001010895",0,0,0,0,0,0
4,8743,"202.67073624194347,1066.2190001010895,1501.329999923706,350.72900009155273,377.7650001049042,1301.6419999599457,539.0490000247955,1170.9759998321533,1973.917000055313,351.5499999523163,317.2960000038147,408.0240001678467,476.6619999408722,382.60199999809265,628.960000038147,765.4619998931885,790.960000038147,343.45899987220764,701.25,439.1010000705719,732.0780000686646,482.72699999809265,471.7699999809265,256.8250000476837,503.6139998435974","225.0,572.8420000076294,1424.7330000400543,437.15499997138977,346.11899995803833,497.16100001335144,379.70700001716614,469.1050000190735,442.68499994277954,471.7699999809265,414.2180001735687,947.2219998836517,862.7420001029968,510.2739999294281,382.05999994277954,443.2480001449585,572.4879999160767,982.654000043869,418.51900005340576,1441.1109998226166,94.30900001525879,647.8980000019073,98.0,257.84299993515015,1178.739000082016,287.44000005722046,629.5609998703003","191.85192797024857,385.4279999732971,285.2020001411438,1015.4169998168945,191.08200001716614,796.3800001144409,414.4210000038147,733.3020000457764,320.62099981307983,411.03600001335144,352.8840000629425,793.1040000915527,442.3769998550415,313.55599999427795,410.94000005722046,378.68300008773804,350.7430000305176,475.0319998264313,443.404000043869,444.6319999694824,280.17500019073486,253.34599995613098,440.231999874115,449.3470001220703,286.83200001716614,703.305999994278,833.4609999656677,915.6870000362396,420.3609998226166,287.3400001525879,756.3259999752045","282.2113402061856,440.9430000782013,534.0260000228882,469.82099986076355,638.8870000839233,532.3900001049042,622.5269999504089,313.9449999332428,503.51399993896484,688.0460000038147,995.8700001239777,1838.3389999866486,1403.8410000801086,4561.201999902725",0,0,0,0,0,0
4,8422,"189.35797793021175,409.8159999847412,125.64900016784668,1369.6379997730255,347.22500014305115,352.1870000362396,433.88100004196167,284.164999961853,643.5019998550415,222.31700015068054,318.67700004577637,381.3489999771118,473.4079999923706,663.3659999370575,193.64299988746643,540.2780001163483,1018.5999999046326,478.4279999732971,441.6630001068115,442.89400005340576,378.8910000324249,598.8529999256134,191.08399987220764,286.21600008010864,734.0220000743866,852.5079998970032,344.5840001106262,352.0590000152588,1234.154000043869,891.4169998168945,323.2850000858307,566.0789999961853,922.3380000591278,821.4769999980927","223.4914245488289,531.4670000076294,844.9210000038147,817.2760000228882,914.5520000457764,414.4229998588562,476.31500005722046,440.2880001068115,512.3409998416901,859.239000082016,445.6559998989105,603.2550001144409,316.220999956131,630.4930000305176,707.2929999828339,801.7070000171661,2531.0650000572205,638.9809999465942,128.9229998588562,565.1510000228882,344.78600001335144,473.7090001106262,386.46399998664856,856.2479999065399,322.90900015830994,760.231999874115","188.8409788064696,380.21799993515015,414.62600016593933,447.7079999446869,284.26200008392334,383.2909998893738,450.36500000953674,378.68300008773804,442.68499994277954,352.1599998474121,382.1650002002716,500.54199981689453,255.59500002861023,440.6380000114441,821.9850001335144,444.92899990081787,222.4539999961853,191.2630000114441,598.3420000076294,407.66799998283386,352.57599997520447,508.0220000743866,259.0810000896454,539.4609999656677,676.271999835968,255.70099997520447,316.1170001029968,442.0720000267029,641.3450000286102,662.4379999637604,633.2539999485016,505.6600000858307,186.87199997901917,407.67400002479553","300.0,902.9910001754761,803.4539999961853,879.5389997959137,249.864000082016,654.8650000095367,998.1210000514984,1308.4990000724792,491.6309998035431,557.2720000743866,588.3020000457764",0,0,0,0,0,0
4,8432,"189.35637631908423,409.40700006484985,153.60399985313416,1342.50200009346,345.9189999103546,352.16200017929077,432.34500002861023,321.3399999141693,610.5250000953674,221.08799982070923,346.92400002479553,353.71600008010864,1134.111999988556,229.79099988937378,505.56300020217896,602.827999830246,414.6470000743866,479.75999999046326,440.2279999256134,475.1510000228882,380.529000043869,564.9579999446869,192.41499996185303,286.8310000896454,384.5239999294281,379.40300011634827,852.7079999446869,347.3489999771118,318.6760001182556,758.1879999637604,476.88699984550476,484.2650001049042,405.1050000190735,354.00600004196167,535.154000043869,444.21999979019165,478.5270001888275,410.43499994277954,442.9909999370575","223.50639918090485,532.0390000343323,377.4960000514984,468.07999992370605,376.43099999427795,440.22699999809265,470.84500002861023,444.1210000514984,447.39800000190735,472.5869998931885,412.4760000705719,513.1389999389648,440.63499999046326,448.32100009918213,413.19400000572205,603.4619998931885,316.835000038147,665.4120001792908,672.7829999923706,2762.702999830246,604.9860000610352,637.6510000228882,127.0789999961853,532.4860000610352,376.8369998931885,442.989000082016,387.18099999427795,887.5160000324249,288.6710000038147,762.1779999732971","188.75048828125,411.2460000514984,385.1339998245239,446.3710000514984,315.39800000190735,385.13499999046326,794.9479999542236,476.989000082016,318.3680000305176,414.5239999294281,500.47300004959106,223.20300006866455,440.4319999217987,254.05999994277954,602.3329999446869,634.7030000686646,221.5880000591278,565.2660000324249,440.231999874115,320.93300008773804,543.539999961853,256.5380001068115,475.35599994659424,423.44000005722046,316.83399987220764,222.42000007629395,316.2189998626709,442.893000125885,290.82099986076355,349.49900007247925,662.2330000400543,664.3829998970032,504.53400015830994,189.8529999256134,375.91799998283386","300.0,436.13499999046326,1301.2350001335144,880.5629999637604,246.48399996757507,594.345999956131,528.7070000171661,500.54500007629395,842.1570000648499,466.9539999961853,488.86699986457825,591.478000164032,586.8099999427795",0,0,0,0,0,0
4,8442,"188.3951301684533,408.99699997901917,121.34800004959106,1346.1899998188019,378.6850001811981,351.0369999408722,431.62800002098083,290.3120000362396,608.4769999980927,255.8019998073578,312.9430000782013,352.6749999523163,474.12600016593933,696.6459999084473,194.87199997901917,539.5610001087189,602.077999830246,380.375,511.2980000972748,409.71600008010864,475.25099992752075,381.24699997901917,598.444000005722,189.69599986076355,288.1160001754761,351.34500002861023,377.7649998664856,851.9909999370575,350.93800020217896,350.31199979782104,723.6790001392365,510.2720000743866,450.36699986457825,441.3580000400543,319.289999961853,567.9240000247955,444.22000002861023,478.62999987602234","225.0,441.5590000152588,918.5569999217987,564.7460000514984,375.0989999771118,473.6089999675751,371.5160000324249,442.5829999446869,439.81699991226196,475.5590000152588,448.72900009155273,437.3599998950958,446.47300004959106,510.99000000953674,411.1470000743866,478.3199999332428,412.68300008773804,604.4869999885559,317.1410000324249,409.71299982070923,227.02700018882751,668.2569999694824,832.8580000400543,1930.8869998455048,606.625,636.7290000915527,155.8550000190735,534.125,346.0130000114441,830.9889998435974","189.1730404122593,283.8589999675751,542.5249998569489,225.18200016021729,411.5529999732971,350.3180000782013,510.7829999923706,252.52199983596802,383.9060001373291,477.50099992752075,320.0069999694824,509.04100012779236,284.0629999637604,411.96399998664856,503.30599999427795,221.18899989128113,473.0989999771118,256.00600004196167,567.8229999542236,444.632000207901,221.80399990081787,192.21099996566772,593.8359999656677,413.6080000400543,351.04100012779236,510.88899993896484,255.90499997138977,508.02500009536743,424.2559998035431,284.06700015068054,285.1819999217987,312.7479999065399,417.18800020217896,291.1289999485016,345.710000038147,631.819000005722,664.1789999008179,504.22699999809265","292.4251583189407,376.3269999027252,375.8600001335144,190.9359998703003,1854.8160002231598,1317.207999944687,401.3179998397827,467.5720000267029,836.2230000495911,879.7450001239777,245.97199988365173,625.1679999828339,530.7550001144409,499.36899995803833,841.0789999961853,436.9500000476837,487.6380000114441,592.9099998474121,587.789999961853",0,0,0,0,0,0
4,8462,"188.48310169595297,437.67000007629395,123.08800005912781,1378.2419998645782,318.1650002002716,378.89099979400635,404.28600001335144,319.3949999809265,609.3990001678467,224.7739999294281,346.48200011253357,379.7589998245239,445.0420000553131,698.4900000095367,160.875,571.8180000782013,601.9229998588562,381.6560001373291,476.7890000343323,441.970999956131,507.8949999809265,348.8090000152588,598.4429998397827,255.29100012779236,193.5420000553131,380.9389998912811,376.53600001335144,882.8139998912811,320.3140001296997,348.1670000553131,725.521999835968,960.4350001811981,447.91100001335144,344.58399987220764,695.3719999790192,287.58700013160706,445.55599999427795","225.16559989549998,439.4099998474121,918.4530000686646,565.7709999084473,374.38100004196167,472.1089999675751,371.6860001087189,412.7819998264313,470.2330000400543,477.0940001010895,481.39599990844727,436.335000038147,415.2409999370575,509.4539999961853,445.6560001373291,414.7279999256134,442.99500012397766,572.0239999294281,379.7109999656677,379.70700001716614,224.5569999217987,672.5989999771118,833.9630000591278,1928.523999929428,607.239000082016,633.9639999866486,157.79900002479553,533.4089999198914,346.42400002479553,444.3200001716614,387.28399991989136,922.9479999542236","188.60944089239558,278.5329999923706,577.0350000858307,191.2869999408722,380.62800002098083,414.4210000038147,507.710000038147,225.5920000076294,448.6119999885559,728.9099998474121,510.9869999885559,284.268000125885,410.01799988746643,506.37800002098083,248.8380000591278,445.34800004959106,253.34599995613098,570.279000043869,444.6319999694824,253.65100002288818,187.5,565.675999879837,415.04100012779236,351.1419999599457,511.5050001144409,253.242999792099,509.45700001716614,421.75999999046326,317.1820001602173,254.47099995613098,343.15199995040894,354.82400012016296,321.6449999809265,344.3789999485016,634.481999874115,663.2560000419617,503.2039999961853","297.1116797110175,347.8599998950958,224.4650001525879,1850.412999868393,1287.0,459.893000125885,440.5369999408722,866.4319999217987,816.2539999485016,277.0,624.1449999809265,532.5980000495911,500.64600014686584,839.5969998836517,435.720999956131,487.3310000896454,594.0360000133514,587.3959999084473",0,0,0,0,0,0
5,5771,"207.4468085106383,980.7130000591278,640.7349998950958,376.0239999294281,1226.37700009346,125.5460000038147,659.5769999027252,153.39900016784668,2227.6740000247955,509.0439999103546,705.1449999809265,285.19200015068054,1231.4969999790192,159.85099983215332,221.90700006484985,638.7890000343323,160.87400007247925,505.4429998397827,129.7610001564026,1111.994999885559,409.20300006866455,285.0899999141693,756.9630000591278,159.9539999961853,189.69599986076355,353.85900020599365,443.3019998073578,568.5410001277924,1421.9029998779297,506.54100012779236,255.69799995422363,254.57400012016296,419.95499992370605,503.61699986457825,697.768000125885,126.05800008773804,796.2799999713898,759.2170000076294","220.7843137254902,282.9379999637604,661.7289998531342,1414.3790001869202,721.5289998054504,221.49300003051758,660.0859999656677,445.55400013923645,354.1089999675751,1076.1449999809265,192.43099999427795,1302.9539999961853,63.28500008583069,252.98300004005432,508.6909999847412,1046.4509999752045,607.8599998950958,32.87100005149841,418.5329999923706,576.8210000991821,127.79900002479553,412.3699998855591,557.9879999160767,2098.0940001010895,533.4089999198914,955.7130000591278,1145.1600000858307,61.44099998474121,637.2479999065399,506.7999999523163,353.06900000572205","260.9340659340659,125.34000015258789,926.6369998455048,318.2669999599457,604.9910001754761,696.0269999504089,662.5420000553131,757.2649998664856,506.3819999694824,253.85600018501282,318.4739999771118,443.7099997997284,248.12200021743774,283.5549998283386,413.6080000400543,191.90499997138977,413.7090001106262,481.70499992370605,349.19600009918213,516.9340000152588,253.13899993896484,223.85399985313416,378.4800000190735,442.893000125885,640.3199999332428,789.6070001125336,348.2819998264313,819.728000164032,281.5019998550415,1171.1740000247955,783.8900001049042,1749.9609999656677,998.2260000705719,803.4539999961853,694.1899998188019,588.920000076294,1311.9850001335144,1028.9729998111725",0,0,0,0,0,0,0
5,5772,"207.4468085106383,1590.930999994278,408.8949999809265,1258.4300000667572,95.74699997901917,685.6909999847412,158.00699996948242,1282.3919999599457,941.2870001792908,32.48299980163574,478.8140001296997,957.260999917984,385.0350000858307,881.279000043869,159.4409999847412,191.69799995422363,798.8450000286102,505.6640000343323,159.33899998664856,284.7829999923706,541.8150000572205,284.0649998188019,411.25100016593933,317.9619998931885,691.4249999523163,160.46600008010864,221.70199990272522,321.853000164032,475.9689998626709,537.9219999313354,156.1650002002716,1801.4629998207092,256.82600021362305,225.48999977111816,416.26700019836426,509.7630000114441,724.0859999656677,157.39299988746643,732.893000125885,223.0349998474121","220.7843137254902,282.9389998912811,700.9500000476837,1376.388000011444,752.8589999675751,190.16300010681152,1138.5099999904633,354.2109999656677,1075.0190000534058,159.4409999847412,1303.8919999599457,92.2649998664856,256.1089999675751,509.25100016593933,1049.3179998397827,381.8400001525879,193.2519998550415,64.10300016403198,33.17899990081787,352.7760000228882,608.3740000724792,1095.904000043869,479.1339998245239,859.5550000667572,1293.3259999752045,959.2980000972748,725.9270000457764,444.01399993896484,62.26099991798401,610.4179999828339,507.60599994659424,349.6010000705719","260.9340659340659,256.210000038147,637.555999994278,224.0569999217987,62.56700015068054,637.3509998321533,2622.5230000019073,253.44700002670288,287.13700008392334,441.1510000228882,251.9119999408722,728.8050000667572,189.96099996566772,383.49900007247925,479.7589998245239,380.42900013923645,520.106999874115,251.81000018119812,190.77699995040894,408.17700004577637,448.4210000038147,636.8389999866486,759.2070000171661,411.0409998893738,1069.4860000610352,756.7519998550415,382.67700004577637,782.6619999408722,686.6090002059937,533.7229998111725,563.2170000076294,964.7690000534058,836.0910000801086,693.0650000572205,587.8939998149872,1000.7910001277924,312.1159999370575,1528.1500000953674",0,0,0,0,0,0,0
5,5773,"207.4468085106383,610.25,345.9170000553131,1291.1989998817444,780.0020000934601,1440.5030000209808,911.5089998245239,95.21300005912781,446.4760000705719,193.23399996757507,546.2170000076294,218.01500010490417,1299.082999944687,190.05999994277954,131.99699997901917,700.0250000953674,602.8450000286102,158.92999982833862,317.55200004577637,509.5069999694824,282.2740001678467,443.6099998950958,285.60199999809265,1075.7430000305176,795.4670000076294,727.4700000286102,1231.7969999313354,1053.3129999637604,380.2220001220703,542.7349998950958,692.0360000133514,157.39100003242493,925.2079999446869","220.7843137254902,283.5529999732971,1169.1319999694824,718.7599999904633,1005.691999912262,820.3460001945496,478.62999987602234,320.4189999103546,1076.2690000534058,158.9079999923706,1332.2569999694824,64.61600017547607,287.5479998588562,476.99399995803833,1080.755000114441,350.62599992752075,291.9470000267029,382.4760000705719,608.3719999790192,513.0329999923706,552.4560000896454,1720.2349998950958,910.5520000457764,957.454999923706,923.8700001239777,276.99699997901917,95.33599996566772,580.720999956131,825.1960000991821","260.9340659340659,637.760999917984,189.75100016593933,95.43899989128113,1961.308000087738,410.6329998970032,697.2599999904633,191.18600010871887,221.54999995231628,318.33200001716614,438.8829998970032,253.14200019836426,284.68099999427795,636.539999961853,350.11699986457825,542.9420001506805,316.42700004577637,520.720999956131,252.6289999485016,223.03399991989136,858.4409999847412,631.8210000991821,2969.553999900818,409.30200004577637,753.170000076294,1220.332999944687,595.0260000228882,932.6229999065399,836.2230000495911,691.8340001106262,587.6909999847412,1002.1150000095367,343.35599994659424,1494.8689999580383",0,0,0,0,0,0,0
