Code_Ligne,Variante,succession,stop_id,descr_fr,descr_nl,alpha_fr,alpha_nl,coord_x,coord_y,mode,numero_lig,terminus
012b,"1","1",9600B,BRUSSELS AIRPORT,BRUSSELS AIRPORT,Brussels Airport,Brussels Airport,157950.00000000000,176429.00000000000,B,"12",BRUSSELS CITY
012b,"1","2","3017",BOURGET,BOURGET,Bourget,Bourget,154334.00000000000,174200.00000000000,B,"12",BRUSSELS CITY
012b,"1","3","5048",DA VINCI,DA VINCI,Da Vinci,Da Vinci,152934.00000000000,173976.00000000000,B,"12",BRUSSELS CITY
012b,"1","4","2695",GENEVE,GENEVE,Genève,Genève,152428.00000000000,172606.00000000000,B,"12",BRUSSELS CITY
012b,"1","5","2250",MEISER,MEISER,Meiser,Meiser,152045.00000000000,171508.00000000000,B,"12",BRUSSELS CITY
012b,"1","6",1270B,SCHUMAN,SCHUMAN,Schuman,Schuman,151061.10000000001,170304.70000000001,B,"12",BRUSSELS CITY
012b,"1","7",1162C,LUXEMBOURG,LUXEMBURG,Luxembourg,Luxemburg,150326.00000000000,169891.00000000000,B,"12",BRUSSELS CITY
012b,"1","8","6432",TRONE,TROON,Trône,Troon,149829.00000000000,170014.00000000000,B,"12",BRUSSELS CITY
012b,"1","9","1780",TRONE,TROON,Trône,Troon,149724.60000000001,170159.89999999999,B,"12",BRUSSELS CITY
012b,"2","1","1780",TRONE,TROON,Trône,Troon,149724.60000000001,170159.89999999999,B,"12",BRUSSELS AIRPORT
012b,"2","2","6433",TRONE,TROON,Trône,Troon,149885.00000000000,169988.00000000000,B,"12",BRUSSELS AIRPORT
012b,"2","3",1131B,LUXEMBOURG,LUXEMBURG,Luxembourg,Luxemburg,150347.00000000000,169926.00000000000,B,"12",BRUSSELS AIRPORT
012b,"2","4",1418B,SCHUMAN,SCHUMAN,Schuman,Schuman,151072.29999999999,170340.39999999999,B,"12",BRUSSELS AIRPORT
012b,"2","5","2247",MEISER,MEISER,Meiser,Meiser,152051.60000000001,171509.39999999999,B,"12",BRUSSELS AIRPORT
012b,"2","6","4556",GENEVE,GENEVE,Genève,Genève,152431.00000000000,172646.00000000000,B,"12",BRUSSELS AIRPORT
012b,"2","7","5044",DA VINCI,DA VINCI,Da Vinci,Da Vinci,153235.50000000000,174050.20000000001,B,"12",BRUSSELS AIRPORT
012b,"2","8","3018",BOURGET,BOURGET,Bourget,Bourget,154386.00000000000,174239.00000000000,B,"12",BRUSSELS AIRPORT
012b,"2","9",9600B,BRUSSELS AIRPORT,BRUSSELS AIRPORT,Brussels Airport,Brussels Airport,157950.00000000000,176429.00000000000,B,"12",BRUSSELS AIRPORT
013b,"1","1","4111",ETANGS NOIRS,ZWARTE VIJVERS,Étangs Noirs,Zwarte Vijvers,147426.00000000000,171854.00000000000,B,"13",UZ-VUB
013b,"1","2","1179",AUTRIQUE,AUTRIQUE,Autrique,Autrique,147286.00000000000,172053.00000000000,B,"13",UZ-VUB
013b,"1","3","1180",VANHUFFEL,VANHUFFEL,Vanhuffel,Vanhuffel,147400.00000000000,172233.00000000000,B,"13",UZ-VUB
013b,"1","4","1183",SIMONIS,SIMONIS,Simonis,Simonis,147319.00000000000,172553.00000000000,B,"13",UZ-VUB
013b,"1","5","4152",PARC ELISABETH,ELISABETHPARK,Parc Élisabeth,Elisabethpark,147094.00000000000,172791.00000000000,B,"13",UZ-VUB
013b,"1","6","1303",RIETHUISEN,RIETHUISEN,Riethuisen,Riethuisen,146648.00000000000,172961.00000000000,B,"13",UZ-VUB
013b,"1","7","2422",DELHOVE,DELHOVE,Delhove,Delhove,146287.60000000001,173191.60000000001,B,"13",UZ-VUB
013b,"1","8","4158",NEREUS,NEREUS,Nereus,Nereus,146083.00000000000,173584.00000000000,B,"13",UZ-VUB
013b,"1","9","4163",LOWET,LOWET,Lowet,Lowet,145878.00000000000,173765.00000000000,B,"13",UZ-VUB
013b,"1","10","1710",CPAS GANSHOREN,OCMW GANSHOREN,CPAS Ganshoren,OCMW Ganshoren,146115.39999999999,173853.00000000000,B,"13",UZ-VUB
013b,"1","11","9103",SQ. DU CENTENAIRE,EEUWFEESTSQUARE,Square du Centenaire,Eeuwfeestsquare,146419.00000000000,173987.00000000000,B,"13",UZ-VUB
