route_id,stop_id,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Cluster10
2,8161,19800.0::38628.0::176.7290737199915,39142.0::55968.0::131.65684060382742,56318.0::72632.0::181.14104450165502,74175.0::85796.0::242.99037037037036,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8151,19879.0::37294.0::171.04556416882,37610.0::53927.0::221.45759024330454,54237.0::69743.0::155.0704243518638,70058.0::82575.0::289.57269051595324,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8141,19950.0::37368.0::171.06837754047538,37684.0::54000.0::221.45188771757785,54310.0::69816.0::155.0704243518638,70131.0::82646.0::289.5673406593407,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8131,20017.0::36131.0::171.67804393694922,36441.0::51963.0::217.81555211957223,52413.0::68631.0::160.47940559871748,68941.0::82713.0::276.3941576947435,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8121,20098.0::37524.0::171.13015035005165,37840.0::54152.0::221.42968366846495,54462.0::69970.0::155.09027598658756,70283.0::82794.0::289.5576906164805,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8111,20187.0::36306.0::171.71893417705812,36616.0::52136.0::217.80328608247422,52586.0::68804.0::160.47940559871748,69114.0::82883.0::276.3853432575818,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8101,20266.0::36387.0::171.73571738725886,36697.0::52216.0::217.79705522263032,52666.0::68884.0::160.47940559871748,69194.0::82962.0::276.38256255939183,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8091,20327.0::36450.0::171.7527445264529,36760.0::52278.0::217.79088800103105,52728.0::68946.0::160.47940559871748,69256.0::83023.0::276.37986061614004,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8081,20398.0::36526.0::171.79327876984127,36836.0::52351.0::217.77276828875281,52801.0::69021.0::160.49697903822442,69331.0::83094.0::276.3647706567377,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8071,19766.0::35998.0::180.74088220798424,36308.0::51989.0::215.05098526879664,52439.0::68801.0::162.39280039115022,69111.0::83179.0::273.43788675742576,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8061,19877.0::37047.0::179.4096680256261,37357.0::53453.0::219.31610337972168,53868.0::70159.0::157.25802590387332,70469.0::83290.0::285.9866877835802,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8051,19938.0::37773.0::178.9313428651528,38101.0::54382.0::221.23152754744794,54723.0::70530.0::154.97529575504524,70840.0::83351.0::289.5576906164805,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8041,20008.0::36575.0::180.4681897748536,36885.0::52690.0::216.39066751028156,53140.0::69374.0::160.62677097449796,69684.0::83421.0::276.2942367230293,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8031,20085.0::37929.0::178.99467608159605,38256.0::54087.0::221.12440780746635,54537.0::70677.0::155.22942998760843,70987.0::83498.0::289.5576906164805,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
