service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
234578052,1,1,1,1,1,0,0,20210823,20210831
236986502,0,0,0,0,0,1,0,20210828,20210828
236988602,0,0,0,0,0,0,1,20210829,20210829
236270000,1,1,1,1,1,0,0,20210901,20210917
236269500,0,0,0,0,0,1,0,20210904,20210918
237269601,0,0,0,0,0,0,1,20210905,20210905
237476501,0,0,0,0,0,1,0,20210912,20210912
237566502,0,0,0,0,0,1,0,20210919,20210919
236892052,1,1,1,1,1,0,0,20210823,20210827
234566500,0,0,0,0,0,1,0,20210828,20210828
234567600,0,0,0,0,0,0,1,20210829,20210829
236900053,1,1,1,1,1,0,0,20210830,20210831
236998000,1,1,1,1,1,0,0,20210901,20210903
236999500,0,0,0,0,0,1,0,20210904,20210904
237000600,0,0,0,0,0,0,1,20210905,20210905
237645001,1,1,1,1,1,0,0,20210906,20210917
237647501,0,0,0,0,0,1,0,20210911,20210911
238158602,0,0,0,0,0,0,1,20210912,20210912
238162502,0,0,0,0,0,1,0,20210918,20210919
236893051,1,1,1,1,1,0,0,20210823,20210827
236897501,0,0,0,0,0,1,0,20210828,20210828
236899601,0,0,0,0,0,0,1,20210829,20210829
236901052,1,1,1,1,1,0,0,20210830,20210831
237001000,1,1,1,1,1,0,0,20210901,20210903
237002500,0,0,0,0,0,1,0,20210904,20210904
237003600,0,0,0,0,0,0,1,20210905,20210905
237648001,1,1,1,1,1,0,0,20210906,20210917
237649501,0,0,0,0,0,1,0,20210911,20210911
237650601,0,0,0,0,0,0,1,20210912,20210912
238164502,0,0,0,0,0,1,0,20210918,20210919
236895051,1,1,1,1,1,0,0,20210823,20210827
237237501,0,0,0,0,0,1,0,20210828,20210828
237172601,0,0,0,0,0,0,1,20210829,20210829
237248052,1,1,1,1,1,0,0,20210830,20210831
237534000,1,1,1,1,1,0,0,20210901,20210917
237049500,0,0,0,0,0,1,0,20210904,20210911
237072600,0,0,0,0,0,0,1,20210905,20210905
238160601,0,0,0,0,0,0,1,20210912,20210912
238167502,0,0,0,0,0,1,0,20210918,20210918
238234501,0,0,0,0,0,1,0,20210919,20210919
236487051,1,1,1,1,1,0,0,20210823,20210831
237544503,0,0,0,0,0,1,0,20210828,20210828
237153605,0,0,0,0,0,0,1,20210829,20210829
236695000,1,1,1,1,1,0,0,20210901,20210917
236330500,0,0,0,0,0,1,0,20210904,20210918
236298600,0,0,0,0,0,0,1,20210905,20210905
237461601,0,0,0,0,0,0,1,20210912,20210912
237456501,0,0,0,0,0,1,0,20210919,20210919
233898050,1,1,1,1,1,0,0,20210823,20210831
234104500,0,0,0,0,0,1,0,20210828,20210828
233930600,0,0,0,0,0,0,1,20210829,20210829
237406051,1,1,1,1,1,0,0,20210830,20210830
236963001,1,1,1,1,1,0,0,20210901,20210917
236955501,0,0,0,0,0,1,0,20210904,20210918
236940601,0,0,0,0,0,0,1,20210905,20210912
237997502,0,0,0,0,0,1,0,20210919,20210919
237259001,1,1,1,1,1,0,0,20210901,20210917
236917501,0,0,0,0,0,1,0,20210904,20210918
236755601,0,0,0,0,0,0,1,20210905,20210905
238322602,0,0,0,0,0,0,1,20210912,20210912
238378502,0,0,0,0,0,1,0,20210919,20210919
237158001,1,1,1,1,1,0,0,20210901,20210917
237159501,0,0,0,0,0,1,0,20210904,20210918
237160601,0,0,0,0,0,0,1,20210905,20210912
238247502,0,0,0,0,0,1,0,20210919,20210919
237467001,1,1,1,1,1,0,0,20210901,20210917
237468501,0,0,0,0,0,1,0,20210904,20210918
237469601,0,0,0,0,0,0,1,20210905,20210912
238270502,0,0,0,0,0,1,0,20210919,20210919
237420000,1,1,1,1,1,0,0,20210901,20210917
237422500,0,0,0,0,0,1,0,20210904,20210918
237424600,0,0,0,0,0,0,1,20210905,20210905
238225601,0,0,0,0,0,0,1,20210912,20210912
238372501,0,0,0,0,0,1,0,20210919,20210919
235811052,1,1,1,1,1,0,0,20210823,20210831
235895501,0,0,0,0,0,1,0,20210828,20210828
233931601,0,0,0,0,0,0,1,20210829,20210829
237388053,1,1,1,1,1,0,0,20210830,20210830
237231071,1,1,1,1,1,0,0,20210901,20210915
236965001,1,1,1,1,1,0,0,20210902,20210917
236953501,0,0,0,0,0,1,0,20210904,20210918
236934601,0,0,0,0,0,0,1,20210905,20210912
238227502,0,0,0,0,0,1,0,20210919,20210919
237514001,1,1,1,1,1,0,0,20210901,20210917
237515501,0,0,0,0,0,1,0,20210904,20210918
237516601,0,0,0,0,0,0,1,20210905,20210912
238219502,0,0,0,0,0,1,0,20210919,20210919
237381031,1,1,1,1,1,0,0,20210901,20210915
237322001,1,1,1,1,1,0,0,20210902,20210917
237291501,0,0,0,0,0,1,0,20210904,20210918
237279601,0,0,0,0,0,0,1,20210905,20210905
238330602,0,0,0,0,0,0,1,20210912,20210912
238427502,0,0,0,0,0,1,0,20210919,20210919
236896051,1,1,1,1,1,0,0,20210823,20210827
237473501,0,0,0,0,0,1,0,20210828,20210828
237377601,0,0,0,0,0,0,1,20210829,20210829
237548052,1,1,1,1,1,0,0,20210830,20210831
237261000,1,1,1,1,1,0,0,20210901,20210903
237055500,0,0,0,0,0,1,0,20210904,20210904
237071600,0,0,0,0,0,0,1,20210905,20210905
238202001,1,1,1,1,1,0,0,20210906,20210917
238203501,0,0,0,0,0,1,0,20210911,20210918
238205601,0,0,0,0,0,0,1,20210912,20210912
238237502,0,0,0,0,0,1,0,20210919,20210919
237616001,1,1,1,1,1,0,0,20210901,20210917
237608501,0,0,0,0,0,1,0,20210904,20210918
237598601,0,0,0,0,0,0,1,20210905,20210905
238236602,0,0,0,0,0,0,1,20210912,20210912
238447502,0,0,0,0,0,1,0,20210919,20210919
237390040,1,1,1,1,1,0,0,20210901,20210901
237324000,1,1,1,1,1,0,0,20210902,20210917
237392500,0,0,0,0,0,1,0,20210904,20210918
237395600,0,0,0,0,0,0,1,20210905,20210905
238264040,1,1,1,1,1,0,0,20210908,20210915
238317601,0,0,0,0,0,0,1,20210912,20210912
238375501,0,0,0,0,0,1,0,20210919,20210919
