route_id,stop_id,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6
2,8161,19800.0::49337.0::198.7594547479541,49709.0::68708.0::165.24430233170168,70023.0::85796.0::238.24585339753878,0::0::0,0::0::0,0::0::0
2,8151,28367.0::48438.0::250.64867221364156,48888.0::66882.0::224.92597532510837,67321.0::82575.0::294.6111839517504,0::0::0,0::0::0,0::0::0
2,8141,28435.0::48507.0::250.68443603029095,48957.0::66951.0::224.92597532510837,67390.0::82646.0::294.6505637126377,0::0::0,0::0::0,0::0::0
2,8131,28499.0::49023.0::250.16624439680373,49473.0::67456.0::224.79166434966356,67921.0::82713.0::296.6247295835587,0::0::0,0::0::0,0::0::0
2,8121,28577.0::48652.0::250.76660024906602,49102.0::67096.0::224.92597532510837,67535.0::82794.0::294.7101055115014,0::0::0,0::0::0,0::0::0
2,8111,28663.0::48740.0::250.7995965532699,49190.0::67184.0::224.92597532510837,67623.0::82883.0::294.7300786369594,0::0::0,0::0::0,0::0::0
2,8101,28738.0::50167.0::249.21776564468712,50617.0::68615.0::224.98560951216803,69166.0::82962.0::299.91359814438965,0::0::0,0::0::0,0::0::0
2,8091,19597.0::48426.0::255.0993313996362,48876.0::66876.0::225.0,67320.0::83023.0::292.70365535248044,0::0::0,0::0::0,0::0::0
2,8081,19668.0::48494.0::255.0324515684925,48944.0::66944.0::225.0,67388.0::83094.0::292.7622564624984,0::0::0,0::0::0,0::0::0
2,8071,19765.0::48579.0::254.75963099630997,49029.0::67029.0::225.0,67473.0::83179.0::292.7622564624984,0::0::0,0::0::0,0::0::0
2,8061,19873.0::48691.0::254.77874255915776,49141.0::67141.0::225.0,67585.0::83290.0::292.7426615727475,0::0::0,0::0::0,0::0::0
2,8051,19931.0::48751.0::254.77874255915776,49201.0::67201.0::225.0,67645.0::83351.0::292.7622564624984,0::0::0,0::0::0,0::0::0
2,8041,19999.0::49720.0::253.5247785943094,50170.0::68618.0::224.98596053772766,69068.0::83421.0::299.10140737128125,0::0::0,0::0::0,0::0::0
2,8031,20071.0::48894.0::254.8057058534186,49344.0::67344.0::225.0,67788.0::83498.0::292.8408656906429,0::0::0,0::0::0,0::0::0
2,8021,20121.0::48946.0::254.81479022182873,49396.0::67396.0::225.0,67840.0::83550.0::292.8408656906429,0::0::0,0::0::0,0::0::0
2,8011,20209.0::49031.0::254.84233303826105,49481.0::67481.0::225.0,67925.0::83633.0::292.8015024191495,0::0::0,0::0::0,0::0::0
2,8271,20281.0::48656.0::259.18780629821924,49106.0::67106.0::225.0,67556.0::83705.0::290.79791318347884,0::0::0,0::0::0,0::0::0
2,8281,20362.0::49191.0::258.5187057873997,49641.0::68085.0::224.92778139232271,68524.0::83788.0::294.80955188679246,0::0::0,0::0::0,0::0::0
2,8291,20434.0::48815.0::259.25044874593704,49265.0::67715.0::225.0,68159.0::83862.0::292.70416480927213,0::0::0,0::0::0,0::0::0
2,8741,20527.0::48910.0::259.2595323566508,49360.0::67810.0::225.0,68254.0::83956.0::292.68488090689084,0::0::0,0::0::0,0::0::0
2,8731,20594.0::48980.0::259.2870689237037,49430.0::67880.0::225.0,68324.0::84028.0::292.72350993377484,0::0::0,0::0::0,0::0::0
2,8162,30258.0::37428.0::270.52536628034113,66887.0::70483.0::238.8296141329614,83175.0::83175.0::Problem with SWT,0::0::0,0::0::0,0::0::0
2,8733,29574.0::49194.0::258.9334862385321,49644.0::66294.0::225.0,66744.0::81639.0::280.24326955354144,0::0::0,0::0::0,0::0::0
2,8742,29631.0::49701.0::258.1726457399103,50151.0::67251.0::225.0,67701.0::81696.0::283.79589138978207,0::0::0,0::0::0,0::0::0
2,8292,29729.0::49349.0::258.9334862385321,49799.0::66899.0::225.0,67349.0::81797.0::281.99882336655594,0::0::0,0::0::0,0::0::0
2,8282,29801.0::50321.0::257.4451754385965,50771.0::67871.0::225.0,68306.0::81869.0::285.958600604586,0::0::0,0::0::0,0::0::0
2,8272,29887.0::49507.0::258.9334862385321,49957.0::66607.0::225.0,67057.0::81955.0::280.2771512954759,0::0::0,0::0::0,0::0::0
2,8012,29951.0::50473.0::257.46403859272976,50923.0::68023.0::225.0,68458.0::82021.0::285.958600604586,0::0::0,0::0::0,0::0::0
2,8022,30027.0::49654.0::259.0028786875223,50104.0::66754.0::225.0,67204.0::82102.0::280.2771512954759,0::0::0,0::0::0,0::0::0
2,8032,30080.0::50608.0::257.52177513639907,51058.0::68158.0::225.0,68596.0::82159.0::285.958600604586,0::0::0,0::0::0,0::0::0
2,8042,30146.0::49773.0::259.0028786875223,50223.0::66873.0::225.0,67323.0::82225.0::280.3197557374849,0::0::0,0::0::0,0::0::0
2,8052,30220.0::49847.0::259.0028786875223,50297.0::66947.0::225.0,67397.0::82300.0::280.3309736294706,0::0::0,0::0::0,0::0::0
2,8062,30278.0::49906.0::259.01299164458936,50356.0::67006.0::225.0,67456.0::82360.0::280.34225711218465,0::0::0,0::0::0,0::0::0
2,8072,27869.0::49112.0::253.92975038206825,49562.0::67112.0::225.0,67562.0::82467.0::280.3536061724254,0::0::0,0::0::0,0::0::0
2,8082,27945.0::49189.0::253.92975038206825,49639.0::67189.0::225.0,67639.0::82547.0::280.3874429836329,0::0::0,0::0::0,0::0::0
2,8092,28014.0::48807.0::254.59833672245685,49257.0::66807.0::225.0,67257.0::82622.0::278.84415880247315,0::0::0,0::0::0,0::0::0
2,8102,28073.0::48866.0::254.59833672245685,49316.0::66866.0::225.0,67316.0::82683.0::278.86747575974493,0::0::0,0::0::0,0::0::0
2,8112,28142.0::49835.0::253.25910154888192,50285.0::67835.0::225.0,68285.0::82756.0::282.26801879621314,0::0::0,0::0::0,0::0::0
2,8122,28224.0::49917.0::253.28480003984262,50367.0::67917.0::225.0,68367.0::82842.0::282.3185146804836,0::0::0,0::0::0,0::0::0
