route_id,stop_id,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6
2,8161,19800.0::49907.0::189.93828798938287,50034.0::68705.0::107.9719618659954,69937.0::85796.0::239.97665913020347,0::0::0,0::0::0,0::0::0
2,8151,28367.0::48086.0::247.71202900755617,48466.0::66326.0::190.0,66706.0::82575.0::288.5817946940576,0::0::0,0::0::0,0::0::0
2,8141,28435.0::48155.0::247.74858012170387,48535.0::66395.0::190.0,66775.0::82646.0::288.62040829185304,0::0::0,0::0::0,0::0::0
2,8131,28499.0::48981.0::245.65110829020603,49361.0::67221.0::190.0,67601.0::82713.0::293.60051614610904,0::0::0,0::0::0,0::0::0
2,8121,28577.0::48680.0::246.73946674625677,49060.0::66920.0::190.0,67300.0::82794.0::291.0989415257519,0::0::0,0::0::0,0::0::0
2,8111,28663.0::48388.0::247.86653992395438,48768.0::66628.0::190.0,67008.0::82883.0::288.6983622047244,0::0::0,0::0::0,0::0::0
2,8101,28738.0::48465.0::247.9141024991129,48845.0::66705.0::190.0,67085.0::82962.0::288.736694589658,0::0::0,0::0::0,0::0::0
2,8091,19597.0::48144.0::252.84857171344532,48524.0::66764.0::190.0,67144.0::83023.0::288.77526922350273,0::0::0,0::0::0,0::0::0
2,8081,19668.0::48212.0::252.78041483845234,48592.0::66832.0::190.0,67212.0::83094.0::288.833585190782,0::0::0,0::0::0,0::0::0
2,8071,19765.0::49057.0::250.2188866990338,49437.0::67297.0::190.0,67677.0::83179.0::291.25628951103084,0::0::0,0::0::0,0::0::0
2,8061,19873.0::48409.0::252.52190072337243,48789.0::67029.0::190.0,67409.0::83290.0::288.8140860147346,0::0::0,0::0::0,0::0::0
2,8051,19931.0::48849.0::251.35870257037945,49229.0::67469.0::190.0,67849.0::83351.0::291.25628951103084,0::0::0,0::0::0,0::0::0
2,8041,19999.0::49298.0::250.24694799577046,49678.0::67538.0::190.0,67918.0::83421.0::291.276172353738,0::0::0,0::0::0,0::0::0
2,8031,20071.0::48612.0::252.5495810055866,48992.0::67232.0::190.0,67612.0::83498.0::288.9131310587939,0::0::0,0::0::0,0::0::0
2,8021,20121.0::48664.0::252.55890568108134,49044.0::67284.0::190.0,67664.0::83550.0::288.9131310587939,0::0::0,0::0::0,0::0::0
2,8011,20209.0::48749.0::252.58717334929185,49129.0::67369.0::190.0,67749.0::83633.0::288.8730798287585,0::0::0,0::0::0,0::0::0
2,8271,20281.0::48444.0::257.56559788204146,48824.0::67064.0::190.0,67444.0::83705.0::286.5043047783039,0::0::0,0::0::0,0::0::0
2,8281,20362.0::48529.0::257.6290132836626,48909.0::67149.0::190.0,67529.0::83788.0::286.46549603296637,0::0::0,0::0::0,0::0::0
2,8291,20434.0::49363.0::255.20010869051558,49743.0::67983.0::190.0,68363.0::83862.0::291.1957223046648,0::0::0,0::0::0,0::0::0
2,8741,20527.0::48698.0::257.6381727281639,49078.0::67318.0::190.0,67698.0::83956.0::286.4461803419855,0::0::0,0::0::0,0::0::0
2,8731,20594.0::48768.0::257.6659397206567,49148.0::67388.0::190.0,67768.0::84028.0::286.4848708487085,0::0::0,0::0::0,0::0::0
2,8162,29233.0::37638.0::268.10206062416006,68654.0::70397.0::252.12707974756168,83175.0::83175.0::Problem with SWT,0::0::0,0::0::0,0::0::0
2,8733,29574.0::48921.0::245.39383366930272,49301.0::66401.0::190.0,66781.0::81639.0::280.2289675595639,0::0::0,0::0::0,0::0::0
2,8742,29631.0::48978.0::245.39383366930272,49358.0::66458.0::190.0,66838.0::81696.0::280.2289675595639,0::0::0,0::0::0,0::0::0
2,8292,29729.0::49076.0::245.39383366930272,49456.0::66556.0::190.0,66936.0::81797.0::280.2695982773703,0::0::0,0::0::0,0::0::0
2,8282,29801.0::49528.0::244.32678562376438,49908.0::67008.0::190.0,67388.0::81869.0::282.63838823285687,0::0::0,0::0::0,0::0::0
2,8272,29887.0::49234.0::245.39383366930272,49614.0::66714.0::190.0,67094.0::81955.0::280.2695982773703,0::0::0,0::0::0,0::0::0
2,8012,29951.0::49300.0::245.4150860509587,49680.0::66780.0::190.0,67160.0::82021.0::280.2695982773703,0::0::0,0::0::0,0::0::0
2,8022,30027.0::49761.0::244.40098307489612,50141.0::67241.0::190.0,67621.0::82102.0::282.63838823285687,0::0::0,0::0::0,0::0::0
2,8032,30080.0::49435.0::245.48005683285973,49815.0::66915.0::190.0,67295.0::82159.0::280.3001210979548,0::0::0,0::0::0,0::0::0
2,8042,30146.0::49880.0::244.40098307489612,50260.0::66980.0::190.0,67360.0::82225.0::280.3134544231416,0::0::0,0::0::0,0::0::0
2,8052,30220.0::50714.0::242.38357568068702,51094.0::67814.0::190.0,68214.0::82300.0::285.04465426664774,0::0::0,0::0::0,0::0::0
2,8062,30278.0::50013.0::244.41178109956928,50393.0::67113.0::190.0,67493.0::82360.0::280.3403174816708,0::0::0,0::0::0,0::0::0
2,8072,27869.0::48599.0::245.5293456086206,48979.0::66459.0::190.0,66839.0::82467.0::275.959879703097,0::0::0,0::0::0,0::0::0
2,8082,27945.0::48676.0::245.5293456086206,49056.0::66536.0::190.0,66916.0::82547.0::275.99357046893994,0::0::0,0::0::0,0::0::0
2,8092,28014.0::48744.0::245.51867545511612,49124.0::66604.0::190.0,66984.0::82622.0::276.07437012405677,0::0::0,0::0::0,0::0::0
2,8102,28073.0::49563.0::243.39580398470517,49943.0::67423.0::190.0,67803.0::82683.0::280.49549731182793,0::0::0,0::0::0,0::0::0
2,8112,28142.0::49632.0::243.38433286375528,50012.0::67492.0::190.0,67872.0::82756.0::280.54481322225206,0::0::0,0::0::0,0::0::0
2,8122,28224.0::49714.0::243.40787884886296,50094.0::67574.0::190.0,67954.0::82842.0::280.59517732401935,0::0::0,0::0::0,0::0::0
2,8132,28303.0::49794.0::243.45401720581577,50174.0::67654.0::190.0,68034.0::82925.0::280.6336377677792,0::0::0,0::0::0,0::0::0
2,8142,28370.0::49856.0::243.36689814814815,50236.0::67716.0::190.0,68096.0::82991.0::280.67965760322255,0::0::0,0::0::0,0::0::0
2,8152,28443.0::49923.0::243.25848182824927,50303.0::67783.0::190.0,68163.0::83061.0::280.71486105517516,0::0::0,0::0::0,0::0::0
4,8381,27109.0::48433.0::264.00454886512847,48813.0::66293.0::190.0,66673.0::82384.0::279.22452421870025,0::0::0,0::0::0,0::0::0
4,8743,27176.0::48503.0::264.0431612509964,48883.0::66743.0::190.0,67123.0::82451.0::281.4164926931106,0::0::0,0::0::0,0::0::0
4,8753,27247.0::48194.0::265.3863799112045,48574.0::66434.0::190.0,66814.0::82522.0::279.204991087344,0::0::0,0::0::0,0::0::0
4,8763,27332.0::48664.0::264.1121788861804,49044.0::66906.0::190.02138618295822,67286.0::82607.0::281.37305006200637,0::0::0,0::0::0,0::0::0
4,8471,26035.0::46934.0::264.4666012727882,47314.0::64793.0::189.9896161107615,65173.0::81310.0::277.46356200037184,0::0::0,0::0::0,0::0::0
4,8461,26097.0::46996.0::264.4666012727882,47376.0::64855.0::189.9896161107615,65235.0::81372.0::277.46356200037184,0::0::0,0::0::0,0::0::0
4,8441,26182.0::47086.0::264.54343666283967,47466.0::64946.0::190.0004004576659,65326.0::81457.0::277.3986423656314,0::0::0,0::0::0,0::0::0
4,8431,26249.0::47534.0::263.2213060840968,47914.0::65774.0::190.00039193729003,66154.0::81524.0::281.70910865322054,0::0::0,0::0::0,0::0::0
4,8421,26324.0::47609.0::263.2213060840968,47989.0::65849.0::190.00039193729003,66229.0::81599.0::281.70910865322054,0::0::0,0::0::0,0::0::0
4,8411,26394.0::47680.0::263.26256694541013,48060.0::65921.0::190.0110016236493,66301.0::81669.0::281.6954060385216,0::0::0,0::0::0,0::0::0
4,8401,26457.0::47365.0::264.64554237612396,47745.0::65227.0::190.0220226518705,65607.0::81732.0::277.35451162790696,0::0::0,0::0::0,0::0::0
4,8301,26532.0::47820.0::263.31308718526867,48200.0::66062.0::190.02155413727465,66442.0::81807.0::281.6753335502766,0::0::0,0::0::0,0::0::0
4,8311,26603.0::47514.0::264.7175888288461,47894.0::65756.0::190.02155413727465,66136.0::81878.0::279.44333629780203,0::0::0,0::0::0,0::0::0
4,8321,26675.0::47593.0::264.83712592026006,47973.0::65836.0::190.03216145104406,66216.0::81950.0::279.3825473496886,0::0::0,0::0::0,0::0::0
4,8331,26738.0::48041.0::263.59181805379524,48421.0::66284.0::190.03216145104406,66664.0::82013.0::281.55857059091795,0::0::0,0::0::0,0::0::0
4,8341,26801.0::47728.0::265.01154011564006,48108.0::65971.0::190.03216145104406,66351.0::82076.0::279.3189507154213,0::0::0,0::0::0,0::0::0
4,8351,26868.0::47800.0::265.10409898719666,48180.0::66044.0::190.04299149126734,66424.0::82143.0::279.2793752783256,0::0::0,0::0::0,0::0::0
4,8361,26961.0::47895.0::265.1215725613834,48275.0::66137.0::190.02138618295822,66517.0::82236.0::279.2793752783256,0::0::0,0::0::0,0::0::0
4,8371,27040.0::47984.0::265.33446333078683,48364.0::66224.0::190.0,66604.0::82315.0::279.22452421870025,0::0::0,0::0::0,0::0::0
4,8764,24812.0::46366.0::276.5535399461817,46746.0::64986.0::190.0,65366.0::81860.0::273.7257457485364,0::0::0,0::0::0,0::0::0
4,8754,24880.0::46434.0::276.5535399461817,46814.0::65054.0::190.0,65434.0::81928.0::273.7257457485364,0::0::0,0::0::0,0::0::0
4,8744,24946.0::46503.0::276.6150438372686,46883.0::65123.0::190.0,65503.0::81994.0::273.6885674451028,0::0::0,0::0::0,0::0::0
4,8382,25023.0::47340.0::273.6653896132993,47720.0::65960.0::190.0,66340.0::82071.0::278.37044534412956,0::0::0,0::0::0,0::0::0
4,8372,25095.0::47034.0::272.24248279762463,47414.0::65654.0::190.0,66034.0::82143.0::275.94102270285754,0::0::0,0::0::0,0::0::0
4,8362,25172.0::47116.0::272.26796569435936,47496.0::65734.0::189.9792740432065,66114.0::82220.0::275.90436962750715,0::0::0,0::0::0,0::0::0
4,8352,25255.0::47210.0::272.3290465423026,47590.0::65821.0::189.90842520980746,66201.0::82303.0::275.85647750071655,0::0::0,0::0::0,0::0::0
4,8342,25328.0::48423.0::268.13309191702433,48803.0::67034.0::189.90842520980746,67414.0::82376.0::283.4935237203496,0::0::0,0::0::0,0::0::0
4,8332,25391.0::47351.0::272.337957510952,47731.0::65962.0::189.90842520980746,66342.0::82439.0::275.79818650992763,0::0::0,0::0::0,0::0::0
4,8322,25454.0::47799.0::270.8988894030541,48179.0::66410.0::189.90842520980746,66790.0::82502.0::278.1433731387292,0::0::0,0::0::0,0::0::0
4,8312,25527.0::47496.0::272.36374340617937,47876.0::66109.0::189.92938627762848,66489.0::82575.0::275.6829985652798,0::0::0,0::0::0,0::0::0
4,8302,25597.0::47572.0::272.3807572760667,47952.0::66187.0::189.95056210584042,66567.0::82645.0::275.60874246339364,0::0::0,0::0::0,0::0::0
4,8402,25661.0::47639.0::272.3893336472804,48019.0::66255.0::189.96123053301162,66635.0::82709.0::275.5733055715106,0::0::0,0::0::0,0::0::0
4,8412,25735.0::47713.0::272.3893336472804,48093.0::66329.0::189.96123053301162,66709.0::82783.0::275.5733055715106,0::0::0,0::0::0,0::0::0
4,8422,25806.0::47789.0::272.39795630062156,48169.0::66405.0::189.96123053301162,66785.0::82854.0::275.53059685412626,0::0::0,0::0::0,0::0::0
4,8432,25874.0::47860.0::272.4066252295522,48240.0::66476.0::189.96123053301162,66856.0::82922.0::275.5058189655172,0::0::0,0::0::0,0::0::0
