route_id,stop_id,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6
2,8161,19800.0::38628.0::176.7290737199915,39142.0::55968.0::131.65684060382742,56318.0::72632.0::181.14104450165502,74175.0::85796.0::242.99037037037036,0::0::0,0::0::0
2,8151,19879.0::36295.0::171.2976364522417,36605.0::52271.0::219.28922507340738,52721.0::68797.0::158.54920378203533,69107.0::82575.0::279.46698572355615,0::0::0,0::0::0
2,8141,19950.0::36059.0::171.63588677137005,36369.0::51894.0::217.83384863123993,52344.0::68560.0::160.4610878145042,68870.0::82646.0::276.4070117125673,0::0::0,0::0::0
2,8131,20017.0::37093.0::171.0589130944015,37440.0::53728.0::221.27081286836935,54069.0::69561.0::154.92202427059127,69887.0::82713.0::285.9980318329625,0::0::0,0::0::0
2,8121,20098.0::36525.0::171.38719790588664,36835.0::52496.0::219.25946618989846,52946.0::69024.0::158.567918895385,69334.0::82794.0::279.44261363636366,0::0::0,0::0::0
2,8111,20187.0::37615.0::171.1455129676383,37930.0::54242.0::221.42968366846495,54552.0::70060.0::155.09027598658756,70372.0::82883.0::289.5576906164805,0::0::0,0::0::0
2,8101,20266.0::37696.0::171.16110154905337,38010.0::54322.0::221.42968366846495,54632.0::70140.0::155.09027598658756,70451.0::82962.0::289.5576906164805,0::0::0,0::0::0
2,8091,20327.0::37412.0::171.12973368451858,37759.0::54043.0::221.24815770081062,54384.0::69876.0::154.92202427059127,70202.0::83023.0::285.9866877835802,0::0::0,0::0::0
2,8081,20398.0::36836.0::171.47657865920428,37146.0::52801.0::219.22353880549346,53251.0::69331.0::158.58588308457712,69641.0::83094.0::279.4203281085032,0::0::0,0::0::0
2,8071,19766.0::36928.0::179.34599697005012,37238.0::53339.0::219.3537357928079,53754.0::69731.0::157.2640983914377,70041.0::83179.0::282.6183530588431,0::0::0,0::0::0
2,8061,19877.0::36427.0::180.3241087613293,36737.0::52553.0::216.47142134547295,53003.0::69229.0::160.55115247134228,69539.0::83290.0::276.32705574498453,0::0::0,0::0::0
2,8051,19938.0::36191.0::180.92404479173075,36501.0::52167.0::214.93565683646113,52617.0::68990.0::162.492976241373,69300.0::83351.0::273.3917202385563,0::0::0,0::0::0
2,8041,20008.0::37847.0::178.9589382812938,38174.0::54455.0::221.23152754744794,54796.0::70600.0::154.9468488990129,70910.0::83421.0::289.5576906164805,0::0::0,0::0::0
2,8031,20085.0::36967.0::180.03785096552542,37277.0::53222.0::217.8271872060207,53672.0::69766.0::158.71846650925812,70076.0::83498.0::279.3446507083537,0::0::0,0::0::0
2,8021,20137.0::36401.0::181.00830054107232,36711.0::52374.0::214.9123731085999,52824.0::69200.0::162.52057889594528,69510.0::83550.0::273.36519379844964,0::0::0,0::0::0
2,8011,20220.0::36503.0::181.17106798501504,36813.0::52459.0::214.785696024543,52909.0::69299.0::162.654240390482,69609.0::83633.0::273.343294008072,0::0::0,0::0::0
2,8271,20292.0::36888.0::180.70486864304652,37198.0::52984.0::216.25091853541113,53434.0::69684.0::160.78172307692307,69994.0::83705.0::276.2532415877814,0::0::0,0::0::0
2,8281,20375.0::36666.0::181.23384077097785,36976.0::52619.0::214.76772358243304,53069.0::69461.0::162.67429233772572,69771.0::83788.0::273.3252698609925,0::0::0,0::0::0
2,8291,20449.0::38301.0::179.04161998655613,38628.0::54459.0::221.12440780746635,54909.0::71041.0::155.18646169104883,71351.0::83862.0::289.5576906164805,0::0::0,0::0::0
2,8741,20543.0::37457.0::180.2958495920539,37767.0::53689.0::217.66769250094208,54139.0::70252.0::158.90805560727364,70552.0::83956.0::279.3260763209393,0::0::0,0::0::0
2,8731,20615.0::36914.0::181.3415853733358,37224.0::52862.0::214.73903312444045,53312.0::69708.0::162.7116369846304,70018.0::84028.0::273.3079254079254,0::0::0,0::0::0
2,8162,21538.0::31876.0::167.54207777132908,32137.0::40042.0::183.73225806451612,53717.0::66773.0::175.13664215686273,67168.0::73496.0::226.49510113780025,0::0::0,0::0::0
2,8733,21385.0::36367.0::157.30283006274195,36677.0::52129.0::217.19408490810252,52579.0::66389.0::167.83511947863866,66699.0::81639.0::243.12423580786026,0::0::0,0::0::0
2,8742,21442.0::36114.0::153.44267993456924,36424.0::51736.0::215.7055250783699,52186.0::66446.0::169.6390603085554,66756.0::81696.0::243.12423580786026,0::0::0,0::0::0
2,8292,21543.0::36221.0::153.49809238315848,36531.0::51838.0::215.67390736264454,52288.0::66550.0::169.6580423503015,66860.0::81797.0::243.10668268180825,0::0::0,0::0::0
2,8282,21615.0::37577.0::154.07104372885604,37894.0::53713.0::221.16957456223528,54163.0::69107.0::160.57795770877945,69417.0::81869.0::262.4919125488802,0::0::0,0::0::0
2,8272,21701.0::37669.0::154.12662825651302,37983.0::53802.0::221.16957456223528,54252.0::69198.0::160.5978188143985,69508.0::81955.0::262.46879167778076,0::0::0,0::0::0
2,8012,21767.0::37740.0::154.1746384523884,38050.0::53419.0::221.05742078209383,53869.0::69266.0::162.48908878352927,69576.0::82021.0::262.46016007114275,0::0::0,0::0::0
2,8022,21848.0::36857.0::153.72759677526818,37167.0::52603.0::217.09315884944286,53053.0::66870.0::167.90508069769126,67180.0::82102.0::243.02339309138608,0::0::0,0::0::0
2,8032,21905.0::36621.0::153.8368442511552,36931.0::52214.0::215.5009814826932,52664.0::66629.0::170.1093089867526,66939.0::82159.0::241.00691868758915,0::0::0,0::0::0
2,8042,21971.0::37005.0::153.93009179193828,37315.0::52732.0::216.95216319647142,53182.0::67009.0::168.00423085267954,67319.0::82225.0::242.9300306435138,0::0::0,0::0::0
2,8052,22046.0::37714.0::154.1038422261935,38031.0::53710.0::219.7513553160278,54160.0::69259.0::162.77107755480495,69569.0::82300.0::259.447272569595,0::0::0,0::0::0
2,8062,22106.0::36844.0::154.0436287148867,37154.0::52423.0::215.40425044207217,52873.0::66844.0::170.20045093407774,67154.0::82360.0::240.9295302013423,0::0::0,0::0::0
