route_id,direction_id,stop_id_used,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6
41,0,5510,20115.0::33348.0,33768.0::43548.0,44028.0::52068.0,52548.0::59448.0,59808.0::66048.0,66588.0::73815.0
41,1,5561F,23400.0::33960.0,34440.0::43440.0,43920.0::51960.0,52320.0::59640.0,60060.0::66720.0,67260.0::73320.0
40,0,5601,20762.0::33375.0,33915.0::43635.0,44115.0::52155.0,52635.0::59475.0,59835.0::66135.0,66675.0::73382.0
42,0,6008,19945.0::29686.0,30106.0::40225.0,40705.0::50365.0,50785.0::59506.0,59866.0::69205.0,69565.0::80605.0
42,1,6155F,21900.0::32400.0,32880.0::43500.0,43980.0::54300.0,54780.0::63960.0,64320.0::73200.0,73560.0::89580.0
57,1,3112,22223.0::31625.0,32105.0::41080.0,41680.0::50611.0,51211.0::58531.0,59011.0::65731.0,66211.0::72365.0
47,1,2352,22500.0::32640.0,33120.0::41940.0,42420.0::51000.0,51480.0::58800.0,59160.0::65940.0,66360.0::72780.0
47,0,2829B,25080.0::29400.0,30120.0::33000.0,55500.0::58920.0,59640.0::61800.0,62520.0::64680.0,65400.0::67440.0
20,1,1747,22320.0::31620.0,32220.0::40440.0,41160.0::48420.0,49140.0::55920.0,56520.0::62640.0,63240.0::68760.0
20,0,9103,26040.0::35640.0,36360.0::45060.0,45780.0::52860.0,53460.0::60300.0,60900.0::66900.0,67500.0::72360.0
12,0,1679F,22093.0::30991.0,31351.0::40291.0,40891.0::50491.0,51091.0::58531.0,58891.0::65491.0,65851.0::72313.0
12,1,1676F,24480.0::33600.0,33960.0::43080.0,43680.0::52680.0,53280.0::60420.0,60780.0::66900.0,67380.0::73740.0
24,1,4059,22726.0::32242.0,32662.0::41722.0,42202.0::50722.0,51202.0::58342.0,58702.0::64882.0,65242.0::71662.0
24,0,4165,22733.0::33473.0,33893.0::42893.0,43313.0::51473.0,51953.0::58853.0,59213.0::65393.0,65753.0::72593.0
13,0,6864F,23150.0::31910.0,32150.0::40610.0,41090.0::49730.0,50090.0::56930.0,57170.0::63890.0,64130.0::72410.0
13,1,1236F,19908.0::30624.0,30864.0::40944.0,41424.0::52080.0,52500.0::61115.0,61355.0::69084.0,69444.0::80688.0
49,0,2568,19251.0::27797.0,28199.0::35734.0,36274.0::44477.0,44897.0::52697.0,52937.0::60977.0,61337.0::71494.0
49,1,2512,21895.0::32392.0,32844.0::42532.0,43012.0::52852.0,53212.0::62961.0,63381.0::73824.0,78715.0::81235.0
35,1,1860,29317.0::32962.0,33742.0::38422.0,39142.0::44902.0,45622.0::53782.0,58379.0::63419.0,64139.0::68542.0
35,0,1816,28168.0::36666.0,37386.0::44627.0,45347.0::51887.0,52607.0::58367.0,59087.0::64187.0,64907.0::69167.0
65,1,3572,20520.0::32760.0,33060.0::44220.0,44580.0::55020.0,55320.0::64920.0,65220.0::74880.0,75540.0::86160.0
65,0,5611,23559.0::35439.0,35739.0::46212.0,46572.0::56652.0,57012.0::66252.0,66492.0::76239.0,76779.0::87039.0
51,0,2550,24780.0::29387.0,30047.0::35100.0,53779.0::59359.0,60079.0::65179.0,65880.0::71400.0,84360.0::87231.0
51,1,3682,19440.0::23580.0,24060.0::27720.0,28440.0::32820.0,51540.0::55920.0,58560.0::63600.0,64320.0::68100.0
75,0,4119F,21360.0::32220.0,32640.0::42780.0,43260.0::53400.0,53880.0::63600.0,63960.0::74160.0,83580.0::88680.0
75,1,4118F,19860.0::30120.0,30540.0::39900.0,40320.0::49860.0,50280.0::58500.0,58980.0::65880.0,66240.0::73080.0
53,0,2934,26160.0::34980.0,35400.0::44100.0,44700.0::52680.0,53220.0::60240.0,60660.0::66840.0,67320.0::73620.0
53,1,2957,23100.0::32280.0,32700.0::41100.0,41700.0::49320.0,49800.0::57180.0,57720.0::64260.0,64680.0::70620.0
50,0,2608,24036.0::29513.0,45867.0::50153.0,55099.0::59590.0,60250.0::63225.0,63885.0::66207.0,66747.0::68401.0
50,1,2663,22511.0::25785.0,26385.0::28458.0,28998.0::31038.0,44447.0::45947.0,55278.0::60258.0,60918.0::65807.0
