route_id,stop_id,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6
2,8161,19800.0::32447.0::324.28205128205127,32806.0::43817.0::289.7631578947368,44092.0::53848.0::221.72727272727272,54167.0::63983.0::306.75,64378.0::74775.0::358.51724137931035,75296.0::86996.0::354.54545454545456
2,8151,19879.0::29475.0::342.7142857142857,29785.0::39221.0::325.37931034482756,39671.0::50021.0::450.0,50471.0::60737.0::342.2,61047.0::71249.0::318.8125,72389.0::83175.0::599.2222222222222
2,8141,19950.0::29549.0::342.82142857142856,29859.0::39294.0::325.3448275862069,39744.0::50094.0::450.0,50544.0::60810.0::342.2,61120.0::71320.0::318.75,72460.0::83246.0::599.2222222222222
2,8131,20017.0::29621.0::343.0,29931.0::39363.0::325.2413793103448,39813.0::50163.0::450.0,50613.0::60881.0::342.26666666666665,61191.0::71387.0::318.625,72527.0::83313.0::599.2222222222222
2,8121,20098.0::29705.0::343.10714285714283,30015.0::39446.0::325.2068965517241,39896.0::50246.0::450.0,50696.0::60964.0::342.26666666666665,61274.0::71468.0::318.5625,72608.0::83394.0::599.2222222222222
2,8111,20187.0::29796.0::343.17857142857144,30106.0::39536.0::325.17241379310343,39986.0::50336.0::450.0,50786.0::61054.0::342.26666666666665,61364.0::71557.0::318.53125,72697.0::83483.0::599.2222222222222
2,8101,20266.0::29877.0::343.25,30187.0::39616.0::325.13793103448273,40066.0::50416.0::450.0,50866.0::61134.0::342.26666666666665,61444.0::71636.0::318.5,72776.0::83562.0::599.2222222222222
2,8091,20327.0::29940.0::343.32142857142856,30250.0::39678.0::325.1034482758621,40128.0::50478.0::450.0,50928.0::61196.0::342.26666666666665,61506.0::71697.0::318.46875,72837.0::83623.0::599.2222222222222
2,8081,20398.0::30016.0::343.5,30326.0::39751.0::325.0,40201.0::50551.0::450.0,51001.0::61271.0::342.3333333333333,61581.0::71768.0::318.34375,72908.0::83694.0::599.2222222222222
2,8071,19766.0::31038.0::352.25,31348.0::41639.0::343.03333333333336,42089.0::52889.0::450.0,53339.0::62911.0::319.06666666666666,63221.0::72993.0::349.0,73593.0::83779.0::599.1764705882352
2,8061,19877.0::31157.0::352.5,31467.0::41753.0::342.8666666666667,42203.0::53003.0::450.0,53453.0::63029.0::319.2,63339.0::73104.0::348.75,73704.0::83890.0::599.1764705882352
2,8051,19938.0::31231.0::352.90625,31541.0::41817.0::342.53333333333336,42267.0::53067.0::450.0,53517.0::63100.0::319.43333333333334,63410.0::73165.0::348.39285714285717,73765.0::83951.0::599.1764705882352
2,8041,20008.0::31305.0::353.03125,31615.0::41890.0::342.5,42340.0::53140.0::450.0,53590.0::63174.0::319.46666666666664,63484.0::73235.0::348.25,73835.0::84021.0::599.1764705882352
2,8031,20085.0::31387.0::353.1875,31697.0::41972.0::342.5,42422.0::53222.0::450.0,53672.0::63256.0::319.46666666666664,63566.0::73312.0::348.07142857142856,73912.0::84098.0::599.1764705882352
