route_id,stop_id,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6
2,8161,19800.0::32447.0::176.4866371471495,32806.0::43817.0::167.70143492870767,44092.0::53848.0::117.4270192701927,54167.0::63983.0::168.94111654441727,64378.0::74775.0::223.9188708281235,75296.0::86996.0::264.5808547008547
2,8151,19879.0::29475.0::182.8805752396832,29785.0::39221.0::164.92528613819414,39671.0::50021.0::225.0,50471.0::60737.0::175.89976621858563,61047.0::71249.0::161.03420897863165,72389.0::83175.0::299.6196921935843
2,8141,19950.0::29549.0::182.9182727367434,29859.0::39294.0::164.90943296237413,39744.0::50094.0::225.0,50544.0::60810.0::175.89976621858563,61120.0::71320.0::161.00303921568627,72460.0::83246.0::299.6196921935843
2,8131,20017.0::29621.0::182.98313202832153,29931.0::39363.0::164.86248939779475,39813.0::50163.0::225.0,50613.0::60881.0::175.92569146864042,61191.0::71387.0::160.9418399372303,72527.0::83313.0::299.6196921935843
2,8121,20098.0::29705.0::183.02045383574477,30015.0::39446.0::164.84704697274944,39896.0::50246.0::225.0,50696.0::60964.0::175.92569146864042,61274.0::71468.0::160.91181086913872,72608.0::83394.0::299.6196921935843
2,8111,20187.0::29796.0::183.04584243937975,30106.0::39536.0::164.83107104984094,39986.0::50336.0::225.0,50786.0::61054.0::175.92569146864042,61364.0::71557.0::160.89693907583637,72697.0::83483.0::299.6196921935843
2,8101,20266.0::29877.0::183.07163666631985,30187.0::39616.0::164.81519779403968,40066.0::50416.0::225.0,50866.0::61134.0::175.92569146864042,61444.0::71636.0::160.88216248037676,72776.0::83562.0::299.6196921935843
2,8091,20327.0::29940.0::183.09783626339333,30250.0::39678.0::164.79942723801443,40128.0::50478.0::225.0,50928.0::61196.0::175.92569146864042,61506.0::71697.0::160.867481110784,72837.0::83623.0::299.6196921935843
2,8081,20398.0::30016.0::183.15990850488666,30326.0::39751.0::164.75273209549073,40201.0::50551.0::225.0,51001.0::61271.0::175.95043816942552,61581.0::71768.0::160.8034259350152,72908.0::83694.0::299.6196921935843
2,8071,19766.0::31038.0::192.06760113555714,31348.0::41639.0::176.1018851423574,42089.0::52889.0::225.0,53339.0::62911.0::161.05526535729211,63221.0::72993.0::209.37955382726156,73593.0::83779.0::299.59729039858627
2,8061,19877.0::31157.0::192.1554964539007,31467.0::41753.0::176.02197161189966,42203.0::53003.0::225.0,53453.0::63029.0::161.11664578111947,63339.0::73104.0::209.30491551459292,73704.0::83890.0::299.59729039858627
2,8051,19938.0::31231.0::192.31014787921723,31541.0::41817.0::175.8692098092643,42267.0::53067.0::225.0,53517.0::63100.0::161.2279557549828,63410.0::73165.0::209.2068170169144,73765.0::83951.0::299.59729039858627
2,8041,20008.0::31305.0::192.3489864565814,31615.0::41890.0::175.8544525547445,42340.0::53140.0::225.0,53590.0::63174.0::161.24426126878132,63484.0::73235.0::209.16629063685775,73835.0::84021.0::299.59729039858627
2,8031,20085.0::31387.0::192.39948681649267,31697.0::41972.0::175.8544525547445,42422.0::53222.0::225.0,53672.0::63256.0::161.24426126878132,63566.0::73312.0::209.11789452082905,73912.0::84098.0::299.59729039858627
2,8021,20137.0::31441.0::192.42029370134466,31751.0::42024.0::175.82230117784485,42474.0::53274.0::225.0,53724.0::63310.0::161.2755059461715,63620.0::73364.0::209.09924055829228,73964.0::84150.0::299.59729039858627
